domain,E0,E1,E2,E3
math,0.11482535302639008,99.54718017578125,0.090720035135746,0.2472798079252243
legal,0.4813518524169922,98.34844970703125,0.41336068511009216,0.7568328380584717
biokem,0.18465103209018707,99.1824722290039,0.16897334158420563,0.4639066159725189
storytelling,0.012462870217859745,99.93187713623047,0.012000737711787224,0.043662846088409424
